Дата;Значение
02.04.2019;4 879,88
01.04.2019;4 158,18
31.03.2019;4 105,40
30.03.2019;4 106,66
29.03.2019;4 098,37
28.03.2019;4 069,11
27.03.2019;4 087,07
26.03.2019;3 985,08
25.03.2019;3 963,07
24.03.2019;4 022,17
23.03.2019;4 035,83
22.03.2019;4 023,97
21.03.2019;4 029,33
20.03.2019;4 087,48
19.03.2019;4 071,19
18.03.2019;4 032,51
17.03.2019;4 025,23
16.03.2019;4 048,73
15.03.2019;3 960,91
14.03.2019;3 924,37
13.03.2019;3 906,72
12.03.2019;3 909,16
11.03.2019;3 905,23
10.03.2019;3 951,60
09.03.2019;3 963,31
08.03.2019;3 901,13
07.03.2019;3 911,48
06.03.2019;3 903,94
05.03.2019;3 896,38
04.03.2019;3 761,56
03.03.2019;3 847,18
02.03.2019;3 864,42
01.03.2019;3 859,58
28.02.2019;3 854,79
27.02.2019;3 851,05
26.02.2019;3 854,36
25.02.2019;3 882,70
24.02.2019;3 810,43
23.02.2019;4 142,53
22.02.2019;4 005,53
21.02.2019;3 954,12
20.02.2019;3 999,82
19.02.2019;3 947,09
18.02.2019;3 915,71
17.02.2019;3 673,84
16.02.2019;3 629,79
15.02.2019;3 620,81
14.02.2019;3 616,88
13.02.2019;3 632,07
12.02.2019;3 653,53
11.02.2019;3 659,45
10.02.2019;3 690,19
09.02.2019;3 671,20
08.02.2019;3 666,78
07.02.2019;3 399,47
06.02.2019;3 413,77
05.02.2019;3 466,36
04.02.2019;3 459,15
03.02.2019;3 464,01
02.02.2019;3 521,06
01.02.2019;3 487,95
31.01.2019;3 457,79
30.01.2019;3 486,18
29.01.2019;3 448,12
28.01.2019;3 470,45
27.01.2019;3 605,20
26.01.2019;3 602,46
25.01.2019;3 599,77
24.01.2019;3 600,87
23.01.2019;3 585,12
22.01.2019;3 604,58
21.01.2019;3 576,03
20.01.2019;3 601,01
19.01.2019;3 728,57
18.01.2019;3 657,84
17.01.2019;3 678,56
16.01.2019;3 655,01
15.01.2019;3 630,68
14.01.2019;3 706,05
13.01.2019;3 552,95
12.01.2019;3 661,30
11.01.2019;3 687,37
10.01.2019;3 678,92
09.01.2019;4 035,30
08.01.2019;4 030,85
07.01.2019;4 025,25
06.01.2019;4 076,63
05.01.2019;3 845,19
04.01.2019;3 857,72
03.01.2019;3 836,74
02.01.2019;3 943,41
01.01.2019;3 843,52
31.12.2018;3 742,70
30.12.2018;3 865,95
29.12.2018;3 820,41
28.12.2018;3 923,92
27.12.2018;3 654,83
26.12.2018;3 857,30
25.12.2018;3 815,49
24.12.2018;4 078,60
23.12.2018;3 998,98
22.12.2018;4 014,18
21.12.2018;3 896,54
20.12.2018;4 134,44
19.12.2018;3 745,95
18.12.2018;3 696,06
17.12.2018;3 545,86
16.12.2018;3 252,84
15.12.2018;3 236,76
14.12.2018;3 242,48
13.12.2018;3 313,68
12.12.2018;3 486,95
11.12.2018;3 424,59
10.12.2018;3 502,66
09.12.2018;3 614,23
08.12.2018;3 476,11
07.12.2018;3 419,94
06.12.2018;3 521,10
05.12.2018;3 753,99
04.12.2018;3 956,89
03.12.2018;3 894,13
02.12.2018;4 139,88
01.12.2018;4 214,67
30.11.2018;4 017,27
29.11.2018;4 278,85
28.11.2018;4 257,42
27.11.2018;3 820,72
26.11.2018;3 779,13
25.11.2018;4 009,97
24.11.2018;3 880,76
23.11.2018;4 347,11
22.11.2018;4 365,94
21.11.2018;4 602,17
20.11.2018;4 451,87
19.11.2018;4 871,49
18.11.2018;5 623,54
17.11.2018;5 554,33
16.11.2018;5 575,55
15.11.2018;5 648,03
14.11.2018;5 738,35
13.11.2018;6 359,49
12.11.2018;6 371,27
11.11.2018;6 411,27
10.11.2018;6 409,22
09.11.2018;6 385,62
08.11.2018;6 453,72
07.11.2018;6 530,14
06.11.2018;6 461,01
05.11.2018;6 419,66
04.11.2018;6 376,13
03.11.2018;6 361,26
02.11.2018;6 388,44
01.11.2018;6 377,78
31.10.2018;6 317,61
30.10.2018;6 334,27
29.10.2018;6 332,63
28.10.2018;6 486,39
27.10.2018;6 480,38
26.10.2018;6 474,75
25.10.2018;6 476,29
24.10.2018;6 495,84
23.10.2018;6 475,74
22.10.2018;6 487,16
21.10.2018;6 482,35
20.10.2018;6 489,19
19.10.2018;6 465,41
18.10.2018;6 476,71
17.10.2018;6 544,43
16.10.2018;6 596,11
15.10.2018;6 596,54
14.10.2018;6 290,93
13.10.2018;6 285,99
12.10.2018;6 274,58
11.10.2018;6 256,24
10.10.2018;6 585,53
09.10.2018;6 642,64
08.10.2018;6 652,23
07.10.2018;6 602,95
06.10.2018;6 588,31
05.10.2018;6 622,48
04.10.2018;6 576,69
03.10.2018;6 502,59
02.10.2018;6 556,10
01.10.2018;6 589,62
30.09.2018;6 625,56
29.09.2018;6 601,96
28.09.2018;6 644,13
27.09.2018;6 676,75
26.09.2018;6 495,00
25.09.2018;6 446,47
24.09.2018;6 595,41
23.09.2018;6 710,63
22.09.2018;6 721,98
21.09.2018;6 734,95
20.09.2018;6 519,67
19.09.2018;6 398,54
18.09.2018;6 371,30
17.09.2018;6 281,20
16.09.2018;6 517,18
15.09.2018;6 543,20
14.09.2018;6 512,71
13.09.2018;6 517,31
12.09.2018;6 351,80
11.09.2018;6 321,20
10.09.2018;6 329,70
09.09.2018;6 300,86
08.09.2018;6 225,98
07.09.2018;6 467,07
06.09.2018;6 529,17
05.09.2018;6 792,83
04.09.2018;7 361,66
03.09.2018;7 260,06
02.09.2018;7 272,72
01.09.2018;7 193,25
31.08.2018;7 037,58
30.08.2018;6 978,23
29.08.2018;7 047,16
28.08.2018;7 096,28
27.08.2018;6 884,64
26.08.2018;6 707,26
25.08.2018;6 763,19
24.08.2018;6 719,96
23.08.2018;6 534,88
22.08.2018;6 376,71
21.08.2018;6 488,76
20.08.2018;6 308,53
19.08.2018;6 506,07
18.08.2018;6 423,76
17.08.2018;6 580,63
16.08.2018;6 334,73
15.08.2018;6 308,52
14.08.2018;6 199,71
13.08.2018;6 297,57
12.08.2018;6 322,69
11.08.2018;6 295,73
10.08.2018;6 184,71
09.08.2018;6 568,23
08.08.2018;6 305,80
07.08.2018;6 753,12
06.08.2018;6 951,80
05.08.2018;7 068,48
04.08.2018;7 032,85
03.08.2018;7 434,39
02.08.2018;7 567,15
01.08.2018;7 624,91
31.07.2018;7 780,44
30.07.2018;8 180,48
29.07.2018;8 218,46
28.07.2018;8 192,15
27.07.2018;8 165,01
26.07.2018;7 951,58
25.07.2018;8 181,39
24.07.2018;8 424,27
23.07.2018;7 711,11
22.07.2018;7 418,49
21.07.2018;7 419,29
20.07.2018;7 354,13
19.07.2018;7 466,86
18.07.2018;7 370,78
17.07.2018;7 321,04
16.07.2018;6 741,75
15.07.2018;6 359,64
14.07.2018;6 276,12
13.07.2018;6 238,05
12.07.2018;6 228,81
11.07.2018;6 394,71
10.07.2018;6 329,95
09.07.2018;6 741,75
08.07.2018;6 773,88
07.07.2018;6 856,93
06.07.2018;6 673,50
05.07.2018;6 639,14
04.07.2018;6 597,55
03.07.2018;6 529,59
02.07.2018;6 614,18
01.07.2018;6 385,82
30.06.2018;6 404,00
29.06.2018;6 218,30
28.06.2018;5 903,44
27.06.2018;6 157,13
26.06.2018;6 093,67
25.06.2018;6 249,18
24.06.2018;6 173,23
23.06.2018;6 162,48
22.06.2018;6 083,69
21.06.2018;6 729,74
20.06.2018;6 776,55
19.06.2018;6 769,94
18.06.2018;6 734,82
17.06.2018;6 499,27
16.06.2018;6 550,16
15.06.2018;6 456,58
14.06.2018;6 675,35
13.06.2018;6 349,90
12.06.2018;6 582,36
11.06.2018;6 906,92
10.06.2018;6 786,02
09.06.2018;7 531,98
08.06.2018;7 624,92
07.06.2018;7 678,24
06.06.2018;7 653,98
05.06.2018;7 633,76
04.06.2018;7 514,47
03.06.2018;7 720,25
02.06.2018;7 643,45
01.06.2018;7 541,45
31.05.2018;7 494,17
30.05.2018;7 406,52
29.05.2018;7 472,59
28.05.2018;7 135,99
27.05.2018;7 368,22
26.05.2018;7 355,88
25.05.2018;7 480,14
24.05.2018;7 587,34
23.05.2018;7 557,82
22.05.2018;8 041,78
21.05.2018;8 418,99
20.05.2018;8 513,25
19.05.2018;8 247,18
18.05.2018;8 250,97
17.05.2018;8 094,32
16.05.2018;8 368,83
15.05.2018;8 510,38
14.05.2018;8 716,79
13.05.2018;8 723,94
12.05.2018;8 504,89
11.05.2018;8 441,49
10.05.2018;9 043,94
09.05.2018;9 325,18
08.05.2018;9 234,82
07.05.2018;9 373,01
06.05.2018;9 654,80
05.05.2018;9 858,15
04.05.2018;9 700,76
03.05.2018;9 743,86
02.05.2018;9 235,92
01.05.2018;9 119,01
30.04.2018;9 240,55
29.04.2018;9 419,08
28.04.2018;9 348,48
27.04.2018;8 987,05
26.04.2018;9 281,51
25.04.2018;8 845,74
24.04.2018;9 697,50
23.04.2018;8 930,88
22.04.2018;8 802,46
21.04.2018;8 895,58
20.04.2018;8 845,83
19.04.2018;8 294,31
18.04.2018;8 163,42
17.04.2018;7 902,09
16.04.2018;8 058,67
15.04.2018;8 329,11
14.04.2018;7 986,24
13.04.2018;7 895,96
12.04.2018;7 889,25
11.04.2018;6 968,32
10.04.2018;6 834,76
09.04.2018;6 770,73
08.04.2018;7 023,52
07.04.2018;6 911,09
06.04.2018;6 636,32
05.04.2018;6 811,47
04.04.2018;6 853,84
03.04.2018;7 456,11
02.04.2018;7 083,80
01.04.2018;6 844,23
31.03.2018;6 973,53
30.03.2018;6 890,52
29.03.2018;7 165,70
28.03.2018;7 954,48
27.03.2018;7 833,04
26.03.2018;8 209,40
25.03.2018;8 495,78
24.03.2018;8 668,12
23.03.2018;8 879,62
22.03.2018;8 728,47
21.03.2018;8 929,28
20.03.2018;8 913,47
19.03.2018;8 630,65
18.03.2018;8 223,68
17.03.2018;7 916,88
16.03.2018;8 338,35
15.03.2018;8 300,86
14.03.2018;8 269,81
13.03.2018;9 194,85
12.03.2018;9 205,12
11.03.2018;9 578,63
10.03.2018;8 866,00
09.03.2018;9 337,55
08.03.2018;9 395,01
07.03.2018;9 965,57
06.03.2018;10 779,90
05.03.2018;11 573,30
04.03.2018;11 512,60
03.03.2018;11 489,70
02.03.2018;11 086,40
01.03.2018;10 951,00
28.02.2018;10 397,90
27.02.2018;10 725,60
26.02.2018;10 366,70
25.02.2018;9 664,73
24.02.2018;9 813,07
23.02.2018;10 301,10
22.02.2018;10 005,00
21.02.2018;10 690,40
20.02.2018;11 403,70
19.02.2018;11 225,30
18.02.2018;10 551,80
17.02.2018;11 112,70
16.02.2018;10 233,90
15.02.2018;10 166,40
14.02.2018;9 494,63
13.02.2018;8 598,31
12.02.2018;8 926,57
11.02.2018;8 129,97
10.02.2018;8 621,90
09.02.2018;8 736,98
08.02.2018;8 265,59
07.02.2018;7 621,30
06.02.2018;7 754,00
05.02.2018;6 955,27
04.02.2018;8 277,01
03.02.2018;9 174,91
02.02.2018;8 830,75
01.02.2018;9 170,54
31.01.2018;10 221,10
30.01.2018;10 106,30
29.01.2018;11 296,40
28.01.2018;11 786,30
27.01.2018;11 440,70
26.01.2018;11 171,40
25.01.2018;11 259,40
24.01.2018;11 359,40
23.01.2018;10 868,40
22.01.2018;10 931,40
21.01.2018;11 600,10
20.01.2018;12 899,20
19.01.2018;11 607,40
18.01.2018;11 474,90
17.01.2018;11 188,60
16.01.2018;11 490,50
15.01.2018;13 819,80
14.01.2018;13 772,00
13.01.2018;14 360,20
12.01.2018;13 980,60
11.01.2018;13 405,80
10.01.2018;14 973,30
09.01.2018;14 595,40
08.01.2018;15 170,10
07.01.2018;16 477,60
06.01.2018;17 527,00
05.01.2018;17 429,50
04.01.2018;15 599,20
03.01.2018;15 201,00
02.01.2018;14 982,10
01.01.2018;13 657,20
31.12.2017;14 156,40
30.12.2017;12 952,20
29.12.2017;14 656,20
28.12.2017;14 606,50
27.12.2017;15 838,50
26.12.2017;16 099,80
25.12.2017;14 026,60
24.12.2017;13 925,80
23.12.2017;14 699,20
22.12.2017;13 831,80
21.12.2017;15 802,90
20.12.2017;16 624,60
19.12.2017;17 776,70
18.12.2017;19 114,20
17.12.2017;19 140,80
16.12.2017;19 497,40
15.12.2017;17 706,90
14.12.2017;16 564,00
13.12.2017;16 408,20
12.12.2017;17 415,40
11.12.2017;16 936,80
10.12.2017;15 455,40
09.12.2017;15 178,20
08.12.2017;16 569,40
07.12.2017;17 899,70
06.12.2017;14 291,50
05.12.2017;11 916,70
04.12.2017;11 657,20
03.12.2017;11 323,20
02.12.2017;11 074,60
01.12.2017;10 975,60
30.11.2017;10 233,60
29.11.2017;9 888,61
28.11.2017;10 058,80
27.11.2017;9 818,35
26.11.2017;9 330,55
25.11.2017;8 790,92
24.11.2017;8 253,69
23.11.2017;8 038,77
22.11.2017;8 253,55
21.11.2017;8 071,26
20.11.2017;8 200,64
19.11.2017;8 036,49
18.11.2017;7 790,15
17.11.2017;7 708,99
16.11.2017;7 871,69
15.11.2017;7 315,54
14.11.2017;6 635,75
13.11.2017;6 559,49
12.11.2017;5 950,07
11.11.2017;6 357,60
10.11.2017;6 618,14
09.11.2017;7 143,58
08.11.2017;7 459,69
07.11.2017;7 144,38
06.11.2017;7 022,76
05.11.2017;7 407,41
04.11.2017;7 379,95
03.11.2017;7 207,76
02.11.2017;7 078,50
01.11.2017;6 767,31
31.10.2017;6 468,40
30.10.2017;6 130,53
29.10.2017;6 153,85
28.10.2017;5 753,09
27.10.2017;5 780,90
26.10.2017;5 904,83
25.10.2017;5 750,80
24.10.2017;5 526,64
23.10.2017;5 930,32
22.10.2017;6 008,42
21.10.2017;6 031,60
20.10.2017;6 011,45
19.10.2017;5 708,52
18.10.2017;5 590,69
17.10.2017;5 605,51
16.10.2017;5 725,59
15.10.2017;5 678,19
14.10.2017;5 831,79
13.10.2017;5 647,21
12.10.2017;5 446,91
11.10.2017;4 826,48
10.10.2017;4 781,99
09.10.2017;4 772,02
08.10.2017;4 610,48
07.10.2017;4 426,89
06.10.2017;4 370,81
05.10.2017;4 328,41
04.10.2017;4 229,36
03.10.2017;4 317,48
02.10.2017;4 409,32
01.10.2017;4 403,74
30.09.2017;4 367,00
29.09.2017;4 169,90
28.09.2017;4 190,00
27.09.2017;4 205,40
26.09.2017;3 879,10
25.09.2017;3 930,00
24.09.2017;3 652,80
23.09.2017;3 779,60
22.09.2017;3 598,50
21.09.2017;3 603,40
20.09.2017;3 873,20
19.09.2017;3 900,00
18.09.2017;4 084,10
17.09.2017;3 666,30
16.09.2017;3 685,40
15.09.2017;3 698,00
14.09.2017;3 238,10
13.09.2017;3 849,70
12.09.2017;4 142,90
11.09.2017;4 203,00
10.09.2017;4 232,10
09.09.2017;4 317,90
08.09.2017;4 305,80
07.09.2017;4 613,50
06.09.2017;4 597,12
05.09.2017;4 376,53
04.09.2017;4 236,31
03.09.2017;4 582,96
02.09.2017;4 578,77
01.09.2017;4 892,01
31.08.2017;4 703,39
30.08.2017;4 565,30
29.08.2017;4 579,02
28.08.2017;4 382,66
27.08.2017;4 382,88
26.08.2017;4 352,40
25.08.2017;4 371,60
24.08.2017;4 334,68
23.08.2017;4 151,52
22.08.2017;4 100,52
21.08.2017;4 001,74
20.08.2017;4 087,66
19.08.2017;4 193,70
18.08.2017;4 160,62
17.08.2017;4 331,69
16.08.2017;4 376,63
15.08.2017;4 181,93
14.08.2017;4 325,13
13.08.2017;4 073,26
12.08.2017;3 884,71
11.08.2017;3 650,62
10.08.2017;3 381,28
09.08.2017;3 342,47
08.08.2017;3 419,94
07.08.2017;3 378,94
06.08.2017;3 213,94
05.08.2017;3 252,91
04.08.2017;2 895,89
03.08.2017;2 804,73
02.08.2017;2 710,67
01.08.2017;2 718,26
31.07.2017;2 875,34
30.07.2017;2 757,18
29.07.2017;2 726,45
28.07.2017;2 809,01
27.07.2017;2 671,78
26.07.2017;2 529,45
25.07.2017;2 576,48
24.07.2017;2 754,86
23.07.2017;2 730,40
22.07.2017;2 810,12
21.07.2017;2 667,76
20.07.2017;2 817,60
19.07.2017;2 273,43
18.07.2017;2 318,88
17.07.2017;2 228,41
16.07.2017;1 929,82
15.07.2017;1 998,86
14.07.2017;2 233,34
13.07.2017;2 357,90
12.07.2017;2 398,84
11.07.2017;2 337,79
10.07.2017;2 372,56
09.07.2017;2 518,44
08.07.2017;2 571,34
07.07.2017;2 518,66
06.07.2017;2 608,56
05.07.2017;2 601,99
04.07.2017;2 601,64
03.07.2017;2 564,06
02.07.2017;2 506,47
01.07.2017;2 434,55
30.06.2017;2 480,84
29.06.2017;2 539,32
28.06.2017;2 574,79
27.06.2017;2 552,45
26.06.2017;2 478,45
25.06.2017;2 589,41
24.06.2017;2 608,72
23.06.2017;2 744,91
22.06.2017;2 705,41
21.06.2017;2 689,10
20.06.2017;2 721,79
19.06.2017;2 589,60
18.06.2017;2 548,29
17.06.2017;2 655,88
16.06.2017;2 518,56
15.06.2017;2 464,58
14.06.2017;2 506,37
13.06.2017;2 717,02
12.06.2017;2 659,63
11.06.2017;2 958,11
10.06.2017;2 947,71
09.06.2017;2 823,81
08.06.2017;2 805,62
07.06.2017;2 732,16
06.06.2017;2 863,20
05.06.2017;2 686,81
04.06.2017;2 511,81
03.06.2017;2 515,35
02.06.2017;2 488,55
01.06.2017;2 407,88
31.05.2017;2 286,41
30.05.2017;2 175,47
29.05.2017;2 255,61
28.05.2017;2 155,80
27.05.2017;2 038,87
26.05.2017;2 202,42
25.05.2017;2 304,98
24.05.2017;2 443,64
23.05.2017;2 320,42
22.05.2017;2 173,40
21.05.2017;2 041,20
20.05.2017;2 084,73
19.05.2017;1 987,71
18.05.2017;1 888,65
17.05.2017;1 839,09
16.05.2017;1 734,45
15.05.2017;1 738,43
14.05.2017;1 808,91
13.05.2017;1 804,91
12.05.2017;1 724,24
11.05.2017;1 848,57
10.05.2017;1 787,13
09.05.2017;1 755,36
08.05.2017;1 723,35
07.05.2017;1 596,71
06.05.2017;1 578,80
05.05.2017;1 555,45
04.05.2017;1 537,67
03.05.2017;1 490,09
02.05.2017;1 452,82
01.05.2017;1 421,60
30.04.2017;1 347,89
29.04.2017;1 321,79
28.04.2017;1 316,48
27.04.2017;1 317,73
26.04.2017;1 281,08
25.04.2017;1 265,49
24.04.2017;1 250,15
23.04.2017;1 207,21
22.04.2017;1 231,71
21.04.2017;1 222,05
20.04.2017;1 229,08
19.04.2017;1 210,29
18.04.2017;1 211,67
17.04.2017;1 193,91
16.04.2017;1 182,94
15.04.2017;1 172,52
14.04.2017;1 167,54
13.04.2017;1 169,28
12.04.2017;1 200,37
11.04.2017;1 205,01
10.04.2017;1 187,13
09.04.2017;1 187,87
08.04.2017;1 175,95
07.04.2017;1 176,90
06.04.2017;1 182,68
05.04.2017;1 124,78
04.04.2017;1 133,25
03.04.2017;1 143,81
02.04.2017;1 102,17
01.04.2017;1 080,50
31.03.2017;1 071,79
30.03.2017;1 026,43
29.03.2017;1 039,97
28.03.2017;1 047,15
27.03.2017;1 045,77
26.03.2017; 966,73
25.03.2017; 972,78
24.03.2017; 937,52
23.03.2017;1 038,59
22.03.2017;1 049,14
21.03.2017;1 120,54
20.03.2017;1 054,23
19.03.2017;1 036,74
18.03.2017; 973,82
17.03.2017;1 100,23
16.03.2017;1 187,81
15.03.2017;1 249,61
14.03.2017;1 240,00
13.03.2017;1 231,92
12.03.2017;1 221,38
11.03.2017;1 175,83
10.03.2017;1 116,72
09.03.2017;1 188,49
08.03.2017;1 150,00
07.03.2017;1 223,54
06.03.2017;1 272,83
05.03.2017;1 267,12
04.03.2017;1 255,15
03.03.2017;1 274,99
02.03.2017;1 251,01
01.03.2017;1 222,50
28.02.2017;1 179,97
27.02.2017;1 179,97
26.02.2017;1 165,20
25.02.2017;1 143,84
24.02.2017;1 173,68
23.02.2017;1 166,72
22.02.2017;1 117,44
21.02.2017;1 115,30
20.02.2017;1 079,98
19.02.2017;1 047,87
18.02.2017;1 054,42
17.02.2017;1 046,21
16.02.2017;1 027,44
15.02.2017;1 007,48
14.02.2017;1 004,55
13.02.2017; 990,64
12.02.2017; 999,18
11.02.2017;1 004,45
10.02.2017; 988,67
09.02.2017; 994,38
08.02.2017;1 063,07
07.02.2017;1 061,35
06.02.2017;1 038,15
05.02.2017;1 027,34
04.02.2017;1 042,90
03.02.2017;1 029,91
02.02.2017;1 011,80
01.02.2017; 989,02
31.01.2017; 970,40
30.01.2017; 920,38
29.01.2017; 919,50
28.01.2017; 921,59
27.01.2017; 919,75
26.01.2017; 917,59
25.01.2017; 901,54
24.01.2017; 892,69
23.01.2017; 921,01
22.01.2017; 924,67
21.01.2017; 921,79
20.01.2017; 895,03
19.01.2017; 899,07
18.01.2017; 886,62
17.01.2017; 907,94
16.01.2017; 831,53
15.01.2017; 821,80
14.01.2017; 818,41
13.01.2017; 823,98
12.01.2017; 804,83
11.01.2017; 777,76
10.01.2017; 907,68
09.01.2017; 902,83
08.01.2017; 911,20
07.01.2017; 908,59
06.01.2017; 902,20
05.01.2017;1 013,38
04.01.2017;1 154,73
03.01.2017;1 043,84
02.01.2017;1 021,75
01.01.2017; 998,33
31.12.2016; 963,74
30.12.2016; 961,24
29.12.2016; 973,50
28.12.2016; 975,92
27.12.2016; 933,20
26.12.2016; 907,61
25.12.2016; 896,18
24.12.2016; 898,82
23.12.2016; 921,98
22.12.2016; 864,54
21.12.2016; 834,28
20.12.2016; 800,88
19.12.2016; 792,71
18.12.2016; 790,53
17.12.2016; 790,83
16.12.2016; 784,91
15.12.2016; 778,09
14.12.2016; 781,48
13.12.2016; 780,56
12.12.2016; 780,09
11.12.2016; 769,73
10.12.2016; 774,65
09.12.2016; 772,79
08.12.2016; 770,81
07.12.2016; 768,13
06.12.2016; 764,22
05.12.2016; 758,70
04.12.2016; 773,87
03.12.2016; 771,15
02.12.2016; 777,94
01.12.2016; 756,77
30.11.2016; 745,69
29.11.2016; 735,60
28.11.2016; 735,81
27.11.2016; 732,03
26.11.2016; 735,38
25.11.2016; 741,65
24.11.2016; 740,29
23.11.2016; 744,59
22.11.2016; 751,35
21.11.2016; 739,25
20.11.2016; 731,03
19.11.2016; 751,62
18.11.2016; 751,59
17.11.2016; 740,98
16.11.2016; 744,20
15.11.2016; 711,62
14.11.2016; 705,02
13.11.2016; 702,03
12.11.2016; 705,05
11.11.2016; 716,41
10.11.2016; 715,53
09.11.2016; 723,27
08.11.2016; 709,85
07.11.2016; 703,13
06.11.2016; 711,52
05.11.2016; 703,42
04.11.2016; 703,24
03.11.2016; 688,70
02.11.2016; 740,83
01.11.2016; 729,79
31.10.2016; 700,97
30.10.2016; 701,86
29.10.2016; 714,48
28.10.2016; 689,65
27.10.2016; 688,31
26.10.2016; 678,30
25.10.2016; 657,59
24.10.2016; 653,76
23.10.2016; 657,07
22.10.2016; 657,29
21.10.2016; 632,83
20.10.2016; 630,86
19.10.2016; 630,52
18.10.2016; 637,96
17.10.2016; 639,19
16.10.2016; 641,63
15.10.2016; 638,65
14.10.2016; 640,38
13.10.2016; 636,79
12.10.2016; 636,19
11.10.2016; 641,07
10.10.2016; 618,99
09.10.2016; 616,75
08.10.2016; 619,11
07.10.2016; 617,12
06.10.2016; 613,02
05.10.2016; 612,51
04.10.2016; 610,20
03.10.2016; 612,13
02.10.2016; 610,89
01.10.2016; 613,98
30.09.2016; 609,74
29.09.2016; 605,69
28.09.2016; 604,73
27.09.2016; 606,17
26.09.2016; 608,04
25.09.2016; 600,83
24.09.2016; 602,63
23.09.2016; 602,84
22.09.2016; 596,30
21.09.2016; 597,15
20.09.2016; 608,31
19.09.2016; 609,23
18.09.2016; 609,87
17.09.2016; 605,98
16.09.2016; 606,97
15.09.2016; 607,15
14.09.2016; 610,68
13.09.2016; 609,24
12.09.2016; 608,24
11.09.2016; 606,72
10.09.2016; 623,51
09.09.2016; 622,86
08.09.2016; 626,32
07.09.2016; 614,54
06.09.2016; 610,44
05.09.2016; 606,59
04.09.2016; 608,63
03.09.2016; 598,21
02.09.2016; 575,54
01.09.2016; 572,30
31.08.2016; 575,47
30.08.2016; 577,50
29.08.2016; 574,11
28.08.2016; 573,91
27.08.2016; 569,95
26.08.2016; 579,65
25.08.2016; 577,76
24.08.2016; 580,18
23.08.2016; 583,41
22.08.2016; 586,75
21.08.2016; 581,31
20.08.2016; 581,70
19.08.2016; 575,63
18.08.2016; 574,32
17.08.2016; 573,22
16.08.2016; 577,44
15.08.2016; 567,24
14.08.2016; 570,47
13.08.2016; 585,59
12.08.2016; 587,56
11.08.2016; 589,12
10.08.2016; 592,10
09.08.2016; 587,80
08.08.2016; 591,05
07.08.2016; 592,69
06.08.2016; 587,78
05.08.2016; 575,04
04.08.2016; 578,29
03.08.2016; 566,36
02.08.2016; 547,47
01.08.2016; 606,27
31.07.2016; 624,68
30.07.2016; 655,05
29.07.2016; 656,99
28.07.2016; 655,03
27.07.2016; 654,35
26.07.2016; 651,78
25.07.2016; 654,10
24.07.2016; 661,28
23.07.2016; 655,56
22.07.2016; 650,62
21.07.2016; 665,01
20.07.2016; 665,68
19.07.2016; 672,86
18.07.2016; 673,11
17.07.2016; 679,46
16.07.2016; 660,77
15.07.2016; 663,25
14.07.2016; 658,08
13.07.2016; 654,47
12.07.2016; 664,55
11.07.2016; 647,66
10.07.2016; 649,36
09.07.2016; 650,96
08.07.2016; 666,52
07.07.2016; 640,56
06.07.2016; 677,33
05.07.2016; 670,63
04.07.2016; 683,66
03.07.2016; 658,66
02.07.2016; 703,70
01.07.2016; 676,30
30.06.2016; 673,34
29.06.2016; 639,89
28.06.2016; 647,00
27.06.2016; 655,27
26.06.2016; 629,37
25.06.2016; 665,12
24.06.2016; 665,30
23.06.2016; 623,98
22.06.2016; 596,12
21.06.2016; 666,65
20.06.2016; 737,23
19.06.2016; 763,78
18.06.2016; 756,23
17.06.2016; 748,91
16.06.2016; 766,31
15.06.2016; 694,47
14.06.2016; 685,56
13.06.2016; 704,38
12.06.2016; 672,78
11.06.2016; 606,73
10.06.2016; 577,47
09.06.2016; 574,63
08.06.2016; 581,64
07.06.2016; 576,60
06.06.2016; 585,54
05.06.2016; 574,98
04.06.2016; 572,73
03.06.2016; 569,19
02.06.2016; 537,97
01.06.2016; 536,92
31.05.2016; 531,39
30.05.2016; 533,86
29.05.2016; 526,23
28.05.2016; 530,04
27.05.2016; 473,46
26.05.2016; 453,38
25.05.2016; 449,60
24.05.2016; 445,98
23.05.2016; 444,15
22.05.2016; 439,32
21.05.2016; 443,19
20.05.2016; 442,68
19.05.2016; 438,71
18.05.2016; 454,62
17.05.2016; 453,78
16.05.2016; 454,16
15.05.2016; 457,57
14.05.2016; 455,67
13.05.2016; 455,67
12.05.2016; 454,77
11.05.2016; 452,73
10.05.2016; 450,89
09.05.2016; 460,48
08.05.2016; 458,55
07.05.2016; 458,54
06.05.2016; 459,60
05.05.2016; 447,98
04.05.2016; 446,72
03.05.2016; 450,30
02.05.2016; 444,67
01.05.2016; 451,88
30.04.2016; 448,32
29.04.2016; 455,10
28.04.2016; 449,01
27.04.2016; 444,69
26.04.2016; 466,09
25.04.2016; 461,43
24.04.2016; 458,56
23.04.2016; 450,28
22.04.2016; 445,74
21.04.2016; 449,43
20.04.2016; 441,39
19.04.2016; 435,51
18.04.2016; 428,59
17.04.2016; 427,40
16.04.2016; 430,57
15.04.2016; 429,71
14.04.2016; 424,28
13.04.2016; 423,73
12.04.2016; 425,19
11.04.2016; 422,48
10.04.2016; 421,56
09.04.2016; 419,41
08.04.2016; 420,35
07.04.2016; 422,75
06.04.2016; 423,41
05.04.2016; 424,03
04.04.2016; 421,44
03.04.2016; 420,90
02.04.2016; 420,87
01.04.2016; 417,96
31.03.2016; 416,73
30.03.2016; 414,82
29.03.2016; 416,52
