Дата;Значение
02.08.2021;38 746,35
01.08.2021;41 305,66
31.07.2021;41 643,85
30.07.2021;40 687,57
29.07.2021;39 709,09
28.07.2021;40 085,59
27.07.2021;38 035,38
26.07.2021;38 109,85
25.07.2021;34 381,68
24.07.2021;33 922,90
23.07.2021;32 450,06
22.07.2021;32 324,21
21.07.2021;31 697,99
20.07.2021;29 881,49
19.07.2021;30 820,72
18.07.2021;31 701,86
17.07.2021;31 767,52
16.07.2021;31 944,64
15.07.2021;31 728,58
14.07.2021;32 811,85
13.07.2021;32 418,66
12.07.2021;32 957,72
11.07.2021;33 912,51
10.07.2021;33 321,07
09.07.2021;33 502,27
08.07.2021;32 841,52
07.07.2021;34 579,45
06.07.2021;33 946,95
05.07.2021;33 823,23
04.07.2021;35 526,50
03.07.2021;34 673,90
02.07.2021;33 212,41
01.07.2021;33 443,66
30.06.2021;34 912,18
29.06.2021;36 285,43
28.06.2021;34 546,78
27.06.2021;32 739,02
26.06.2021;31 361,23
25.06.2021;32 284,37
24.06.2021;34 939,96
23.06.2021;33 175,12
22.06.2021;32 810,10
21.06.2021;32 638,74
20.06.2021;35 808,84
19.06.2021;36 152,73
18.06.2021;35 463,46
17.06.2021;37 789,27
16.06.2021;38 683,08
15.06.2021;39 904,51
14.06.2021;39 869,78
13.06.2021;38 991,86
12.06.2021;36 068,89
11.06.2021;37 340,77
10.06.2021;36 301,43
09.06.2021;36 407,02
08.06.2021;33 705,50
07.06.2021;34 769,34
06.06.2021;35 880,53
05.06.2021;35 706,21
04.06.2021;37 087,58
03.06.2021;38 599,15
02.06.2021;37 748,15
01.06.2021;36 198,89
31.05.2021;36 733,66
30.05.2021;36 091,85
29.05.2021;34 149,52
28.05.2021;35 430,99
27.05.2021;38 552,63
26.05.2021;38 807,38
25.05.2021;37 672,70
24.05.2021;38 993,40
23.05.2021;33 850,55
22.05.2021;38 101,06
21.05.2021;35 939,12
20.05.2021;39 927,36
19.05.2021;38 572,26
18.05.2021;43 219,67
17.05.2021;44 837,67
16.05.2021;44 162,96
15.05.2021;48 339,35
14.05.2021;49 574,54
13.05.2021;49 115,65
12.05.2021;54 437,70
11.05.2021;56 783,53
10.05.2021;54 821,39
09.05.2021;57 822,23
08.05.2021;59 026,70
07.05.2021;57 528,65
06.05.2021;56 025,07
05.05.2021;56 870,37
04.05.2021;54 572,74
03.05.2021;57 124,06
02.05.2021;56 829,29
01.05.2021;57 807,76
30.04.2021;56 767,75
29.04.2021;52 868,27
28.04.2021;54 322,30
27.04.2021;54 944,10
26.04.2021;53 379,41
25.04.2021;48 636,67
24.04.2021;50 951,51
23.04.2021;50 751,91
22.04.2021;51 750,70
21.04.2021;55 037,26
20.04.2021;56 946,05
19.04.2021;56 253,42
18.04.2021;56 239,05
17.04.2021;61 398,24
16.04.2021;62 125,39
15.04.2021;63 518,54
14.04.2021;62 306,93
13.04.2021;63 167,59
12.04.2021;60 247,44
11.04.2021;59 685,74
10.04.2021;59 064,99
09.04.2021;58 442,27
08.04.2021;58 032,79
07.04.2021;56 178,10
06.04.2021;58 395,09
05.04.2021;58 927,47
04.04.2021;58 484,27
03.04.2021;58 626,84
02.04.2021;59 108,90
01.04.2021;59 245,95
31.03.2021;59 217,66
30.03.2021;58 916,33
29.03.2021;57 446,02
28.03.2021;55 199,09
27.03.2021;56 005,93
26.03.2021;54 221,11
25.03.2021;52 345,53
24.03.2021;54 064,00
23.03.2021;54 884,36
22.03.2021;54 818,04
21.03.2021;57 885,72
20.03.2021;58 612,93
19.03.2021;58 449,24
18.03.2021;57 780,26
17.03.2021;58 069,59
16.03.2021;56 329,03
15.03.2021;56 497,64
14.03.2021;60 079,40
13.03.2021;61 479,92
12.03.2021;56 730,94
11.03.2021;57 526,12
10.03.2021;56 250,20
09.03.2021;54 416,10
08.03.2021;51 789,78
07.03.2021;49 991,13
06.03.2021;48 398,56
05.03.2021;49 146,98
04.03.2021;48 114,87
03.03.2021;50 935,67
02.03.2021;47 228,85
01.03.2021;48 322,85
28.02.2021;44 363,23
27.02.2021;47 162,18
26.02.2021;46 645,08
25.02.2021;48 854,44
24.02.2021;48 762,63
23.02.2021;47 300,12
22.02.2021;54 206,59
21.02.2021;58 006,09
20.02.2021;56 936,46
19.02.2021;55 365,94
18.02.2021;51 959,86
17.02.2021;52 349,04
16.02.2021;48 594,16
15.02.2021;48 711,57
14.02.2021;48 928,54
13.02.2021;46 785,54
12.02.2021;47 540,00
11.02.2021;48 228,87
10.02.2021;44 693,63
09.02.2021;47 290,30
08.02.2021;43 448,79
07.02.2021;38 313,37
06.02.2021;39 867,04
05.02.2021;37 642,32
04.02.2021;37 385,57
03.02.2021;36 916,04
02.02.2021;35 660,29
01.02.2021;33 759,52
31.01.2021;32 872,48
30.01.2021;34 264,34
29.01.2021;34 563,59
28.01.2021;32 673,74
27.01.2021;31 418,87
26.01.2021;31 981,18
25.01.2021;33 281,76
24.01.2021;31 706,06
23.01.2021;32 239,23
22.01.2021;33 655,72
21.01.2021;32 186,01
20.01.2021;35 089,15
19.01.2021;36 347,55
18.01.2021;36 240,23
17.01.2021;36 010,27
16.01.2021;36 671,50
15.01.2021;35 482,54
14.01.2021;39 634,15
13.01.2021;35 973,88
12.01.2021;34 162,11
11.01.2021;32 684,73
10.01.2021;37 546,29
09.01.2021;40 591,11
08.01.2021;39 218,84
07.01.2021;38 989,93
06.01.2021;35 671,91
05.01.2021;34 011,35
04.01.2021;31 446,14
03.01.2021;33 427,59
02.01.2021;31 777,47
